"","p.values.treatment_p.values","p.values.treatment.1_p.values","p.values.treatment_adjusted.p.values","p.values.treatment.1_adjusted.p.values","p.values.treatment_q.values","p.values.treatment.1_q.values","post.hoc.5mM.Glucose.10mM.Glucose","post.hoc.5mM.Glucose.and.5mM.Fructose.10mM.Glucose","post.hoc.5mM.Glucose.and.5mM.Fructose.5mM.Glucose"
"X88045",0.0208020551371632,0.111745969858287,0.111745969858287,0.589925957743538,0.075174503272793,0.6042702854673,0.0156105718770984,0.234569541540249,0.452180960454582
"X88054",0.220694660109181,0.507597718251117,0.507597718251117,0.997798249055363,0.341109853679826,0.873994797011048,0.241499285570334,0.969740782932919,0.351566633776645
"X88052",0.309212862827447,0.60343358685114,0.60343358685114,0.997798249055363,0.404668380983708,0.891842202973843,0.890917532295812,0.548825061742541,0.29388696642394
"X17541",0.473084385493567,0.734556779309636,0.734556779309636,0.997798249055363,0.505288309721545,0.909399872282424,0.670142795300535,0.461103500604375,0.93895167528059
"X88059",1.11296053688743e-25,1.19457764292584e-23,1.19457764292584e-23,1.28218000340707e-21,8.16424588534257e-24,1.19474702928792e-21,0.811915860587364,0,0
"X87947",1.3937502219249e-12,8.97575142919637e-11,8.97575142919637e-11,5.78038392040246e-09,6.13440592226313e-11,5.38621449304566e-09,0.139133545724003,1.07646979108367e-08,0
"X1704",0.33428577371418,0.618620799631988,0.618620799631988,0.997798249055363,0.420075736088288,0.894216604279394,0.587256516965885,0.315144223235088,0.883186545310759
"X42007",0.0701380808575008,0.268862643287086,0.268862643287086,0.997798249055363,0.181951138698489,0.786047401831008,0.695584386368157,0.296080874179577,0.0601222568223198
"X87951",5.40762092194213e-12,2.90208989477561e-10,2.90208989477561e-10,1.55745491019624e-08,1.98341025571888e-10,1.45125069979436e-08,0.0743591698954246,8.52136371465306e-08,0
"X892",0.276367563565407,0.563230355921238,0.563230355921238,0.997798249055363,0.38289854759789,0.885009685367789,0.294461153643796,0.969121844408992,0.418338793457868
"X88047",0.0225822318417895,0.115420296080257,0.115420296080257,0.589925957743538,0.0788830833172358,0.611979876332652,0.0165336916285876,0.339411500225811,0.337892686370762
"X21622",0.000240623931846858,0.00286966318721068,0.00286966318721068,0.034223390603031,0.00194018647308793,0.0377334925212169,0.155617707544241,0.0428402093476529,0.000145998211988463
"X134",0.0595050374439984,0.245649000730352,0.245649000730352,0.977162748175447,0.163253481083903,0.770469769154544,0.0869400598298481,0.993554388190589,0.109476090679757
"X168",0.00362967177896335,0.0350994491129898,0.0350994491129898,0.332412429834786,0.0220081082474395,0.324152673643066,0.0487018774569178,0.585631790604215,0.00322179508263654
"X107250",0.985441733568045,0.991600744402845,0.991600744402845,0.997798249055363,0.680260726231723,0.931271220733245,0.994540113970851,0.997239358287575,0.984110981761406
"X112501",0.414380686427704,0.687786500153199,0.687786500153199,0.997798249055363,0.47219504871762,0.903831444760463,0.381310777064576,0.816265914325012,0.748855858427983
"X16817",0.0150809521340868,0.0916238978712445,0.0916238978712445,0.548851748489524,0.0613046478221897,0.555953189612034,0.0168365636912671,0.836306802431652,0.0694155133756152
"X4877",0.60450070233352,0.844186655965985,0.844186655965985,0.997798249055363,0.566180180494928,0.920227024323666,0.6028677134648,0.972507337806694,0.742065835823877
"X257",0.694461317313777,0.884487294274515,0.884487294274515,0.997798249055363,0.599892380184505,0.923584033551093,0.995327695059734,0.769460371568168,0.714502224073552
"X3143",0.57722940574319,0.822424197563306,0.822424197563306,0.997798249055363,0.554808880101783,0.918288607978605,0.954907804802286,0.566174801246349,0.745600749166926
"X86075",0.204997488466386,0.481818914497636,0.481818914497636,0.997798249055363,0.327990863798373,0.868142070955605,0.202796897170608,0.395697484184218,0.908174520340996
"X22324",0.680863740525304,0.884024695359467,0.884024695359467,0.997798249055363,0.595136893068292,0.923547103205384,0.763437783043748,0.993543307147522,0.698229983746787
"X3029",0.185112659000664,0.466348837191879,0.466348837191879,0.997798249055363,0.311572694969946,0.864361275885113,0.194120989660583,0.337062760777537,0.941157219366359
"X120987",0.0167840918268289,0.0978817641306877,0.0978817641306877,0.562820143751455,0.0657827311231488,0.572197419962808,0.0473369609764848,0.0255457318503912,0.96671289979177
"X46131",0.00216326734460845,0.0224700672569006,0.0224700672569006,0.233398763120065,0.0144870666811236,0.234916663188705,0.00945197565864997,0.00433861261049395,0.961767111956803
"X88055",0.0150134136974885,0.0916238978712445,0.0916238978712445,0.548851748489524,0.0611201954987311,0.555953189612034,0.73120602339392,0.0920076653279611,0.0143958249510013
"X2551",0.309014827307416,0.60343358685114,0.60343358685114,0.997798249055363,0.404541603946129,0.891842202973843,0.310949543831204,0.489360006306518,0.943409885910912
"X17267",0.694954302644262,0.884487294274515,0.884487294274515,0.997798249055363,0.600062694517659,0.923584033551093,0.956320348013456,0.843662818203282,0.679033442081018
"X99",0.00596796286651014,0.0468703425125919,0.0468703425125919,0.368103665586697,0.0314434182494432,0.390418623111914,0.016668246235964,0.0127688311014664,0.994776032299808
"X88058",0.148727569814663,0.412847219657944,0.412847219657944,0.997798249055363,0.278061770684508,0.849430273012651,0.299416634931532,0.154851029061803,0.925277903143376
"X2030",0.0529713206075547,0.227423536475102,0.227423536475102,0.966626055049402,0.151013143298832,0.756553502842909,0.0413942050256777,0.495352987978887,0.379367234659629
"X84181",2.61816075470118e-07,4.95910448831635e-06,4.95910448831635e-06,9.39312732492862e-05,3.38926051843364e-06,8.7526017699238e-05,1.30755304250663e-07,0.02392321345147,0.00263166423921724
"X228",0.0951664510349161,0.336742826738934,0.336742826738934,0.997798249055363,0.219755890057336,0.821476266853468,0.138745061549096,0.14807474686987,0.999395041328579
"X27127",0.286147805784668,0.570567015268676,0.570567015268676,0.997798249055363,0.389361405060069,0.886320205223928,0.453022731522592,0.951295390590547,0.293382281520451
"X1923",0.514013572075795,0.782834131483512,0.782834131483512,0.997798249055363,0.526008982925694,0.914509517301304,0.482187700730105,0.856370563926103,0.805891371739862
"X1661",0.261439810977915,0.548353167937533,0.548353167937533,0.997798249055363,0.372567597229818,0.882257250870145,0.234987234040402,0.584792883179266,0.792412826416069
"X453",0.18819699596856,0.466348837191879,0.466348837191879,0.997798249055363,0.314230277754427,0.864361275885113,0.969292303221894,0.311588009727505,0.209554518381329
"X46185",0.834072926019879,0.938147756220304,0.938147756220304,0.997798249055363,0.642952285862004,0.927638615588497,0.846609232366588,0.997914154323058,0.876826482169618
"X62",0.67803515636063,0.883916276713048,0.883916276713048,0.997798249055363,0.59413341225531,0.923538442729175,0.931021633638798,0.862353971297797,0.655121497505559
"X4793",0.00516345690362812,0.0449360303504934,0.0449360303504934,0.364704741176269,0.0284893933417294,0.38043598923353,0.224964605155853,0.00345930029932784,0.210395398633946
"X17425",0.246644878623529,0.542577927640258,0.542577927640258,0.997798249055363,0.361728992026429,0.881152934778718,0.433555508849147,0.246406976941911,0.925939410158815
"X84390",1.10438213232044e-05,0.000154613498524862,0.000154613498524862,0.00216458897934807,0.000105669365790097,0.00210829572081576,0.00199164936829777,9.57394398415357e-06,0.289524911999476
"X2039",0.436924441143579,0.710553889132487,0.710553889132487,0.997798249055363,0.485414271187895,0.906625127275636,0.447625470777925,0.972636892980549,0.58437240241314
"X31556",0.455218113089492,0.718530551053022,0.718530551053022,0.997798249055363,0.495664339622666,0.907565898746763,0.994017784019282,0.556373788389103,0.49230543713881
"X21666",0.939950274446032,0.970076885806482,0.970076885806482,0.997798249055363,0.6698943424752,0.929853250815197,0.941855721994397,0.998137624685913,0.960158823238761
"X41821",0.684967919554665,0.884487294274515,0.884487294274515,0.997798249055363,0.596584117735158,0.923584033551093,0.980733233399351,0.796490413175861,0.684764699461475
"X137",0.783605272231185,0.931073423093881,0.931073423093881,0.997798249055363,0.628499649925056,0.927128875780311,0.887044782630958,0.974175480583037,0.773189857653704
"X1878",0.729080684904808,0.907873101211309,0.907873101211309,0.997798249055363,0.611510184415447,0.925405593385232,0.936602397940388,0.70766450648826,0.894745799478429
"X31547",0.268853314981682,0.554940816821164,0.554940816821164,0.997798249055363,0.377770981779104,0.883492119124806,0.599818462520763,0.241362852771595,0.787715442011283
"X2706",0.866341329918564,0.965266118455978,0.965266118455978,0.997798249055363,0.651618069198574,0.929528285169316,0.853844397353951,0.963864633658156,0.958416859333276
"X18488",0.832017524733762,0.938147756220304,0.938147756220304,0.997798249055363,0.642385673228446,0.927638615588497,0.923490050409642,0.973694325817477,0.820470233299217
"X5346",0.926813912429465,0.970076885806482,0.970076885806482,0.997798249055363,0.66677462979235,0.929853250815197,0.990202576095895,0.92195096557907,0.966000401682101
"X21885",0.570209975837418,0.816033832087327,0.816033832087327,0.997798249055363,0.551784869488166,0.917701387044506,0.929643882056348,0.773518383957536,0.549346281037275
"X11303",0.251068668380119,0.542577927640258,0.542577927640258,0.997798249055363,0.365035458055407,0.881152934778718,0.781442770958618,0.580431905477982,0.224544373198692
"X299",0.00695999268503141,0.0521190149902352,0.0521190149902352,0.376234172906693,0.0347385255816236,0.415953248127269,0.967615971146248,0.0120786207375664,0.0233457562493267
"X84721",0.890400705147928,0.970076885806482,0.970076885806482,0.997798249055363,0.657810415236853,0.929853250815197,0.938377995994145,0.991234437420668,0.887294952770237
"X46292",0.053848540700256,0.228147764545822,0.228147764545822,0.966626055049402,0.152711902793224,0.757138613571747,0.183656781331612,0.0528362362742743,0.825196038582766
"X84566",0.0276617550109453,0.137032078669606,0.137032078669606,0.67883583587097,0.0929808800777104,0.65187178126556,0.0205278728201469,0.365786444301411,0.353401904883233
"X1912",0.621058422038909,0.849943918033723,0.849943918033723,0.997798249055363,0.572805157572597,0.920724545122924,0.977507639838022,0.747688922635676,0.622464850915965
"X4945",0.428130838552623,0.70696476930228,0.70696476930228,0.997798249055363,0.480337419442082,0.906195549174243,0.819015388412043,0.394922690070705,0.760558770490896
"X1029",0.440532230831598,0.712537574788208,0.712537574788208,0.997798249055363,0.487468590266923,0.906860868625952,0.986131021911791,0.562252556501328,0.465151526359181
"X127730",0.633251066968036,0.85316670947158,0.85316670947158,0.997798249055363,0.577555685334662,0.921000346758021,0.902817879948088,0.606025477080868,0.858653385876445
"X2439",0.833322956215569,0.938147756220304,0.938147756220304,0.997798249055363,0.642745749795006,0.927638615588497,0.925365400237428,0.821520482984174,0.972997876321498
"X46128",0.365404071156763,0.632281229485457,0.632281229485457,0.997798249055363,0.440997197946833,0.896264972381502,0.740405712768791,0.770862300443889,0.331735862927641
"X4746",0.747655441455556,0.912484335948372,0.912484335948372,0.997798249055363,0.617469782600358,0.92575456808325,0.738938486426074,0.858397859359889,0.974653025822056
"X2810",0.732506583131317,0.907873101211309,0.907873101211309,0.997798249055363,0.612623289242037,0.925405593385232,0.789004285374438,0.758634984689755,0.998476655330418
"X41805",0.402390016280899,0.678374791845286,0.678374791845286,0.997798249055363,0.464883425856992,0.902627129383182,0.75614338344246,0.368685483390234,0.796479524584616
"X17651",0.835350844184477,0.938147756220304,0.938147756220304,0.997798249055363,0.643303665353825,0.927638615588497,0.998061769279045,0.877259713210399,0.84821055395235
"X84207",3.72523412361546e-11,1.71360769686311e-09,1.71360769686311e-09,7.88259540557031e-08,1.17115155059658e-09,7.34507434124579e-08,0.315106968983808,5.36930367944777e-08,7.3093642249944e-11
"X1760",0.0685696064402245,0.266017027394606,0.266017027394606,0.997798249055363,0.179268836238711,0.784252501577123,0.983139460030275,0.132309924360264,0.0918661902383624
"X31359",0.700628318797054,0.888198104931698,0.888198104931698,0.997798249055363,0.602012540622183,0.923878990175258,0.986889439604278,0.797102923363533,0.705862407683642
"X111263",0.0154358599069813,0.0920434609268146,0.0920434609268146,0.548851748489524,0.0622650583817586,0.557080779646512,0.955605004218332,0.0467725537695892,0.0227706697619227
"X42529",0.730863159198683,0.907873101211309,0.907873101211309,0.997798249055363,0.612090123280551,0.925405593385232,0.78799958150803,0.756843390138504,0.998401992002325
"X10962",0.628516027615585,0.85034521383285,0.85034521383285,0.997798249055363,0.575723410592499,0.920758992332987,0.814119869011083,0.60797791267115,0.937444924428296
"X41808",0.198297954135316,0.474574712270943,0.474574712270943,0.997798249055363,0.322643631451813,0.866398218355101,0.88451337494653,0.191270071748509,0.407741518831323
"X47170",0.822675559033954,0.938147756220304,0.938147756220304,0.997798249055363,0.639787546296829,0.927638615588497,0.864616908305118,0.838720675331341,0.998546255083199
"X443",0.625589614516442,0.849957197781833,0.849957197781833,0.997798249055363,0.574583034852455,0.920725685534936,0.699447763181464,0.659781643236796,0.997748267632398
"X4983",0.807816312272804,0.938147756220304,0.938147756220304,0.997798249055363,0.635576300459533,0.927638615588497,0.96129147066139,0.792465207429788,0.922325802243567
"X103828",3.19360279469659e-05,0.000421730400083429,0.000421730400083429,0.00543188755307457,0.000281963264210235,0.00572980755061231,2.20982719222329e-05,0.205770709811248,0.00718821803122616
"X21665",0.667034504923065,0.876673920756029,0.876673920756029,0.997798249055363,0.590183020962936,0.922955446621974,0.644885634904256,0.934373105634723,0.849611779837289
"X120668",0.820371158269581,0.938147756220304,0.938147756220304,0.997798249055363,0.63914084620275,0.927638615588497,0.804226461626406,0.952142519183528,0.94126982358939
"X46365",0.917681184677415,0.970076885806482,0.970076885806482,0.997798249055363,0.664570749681564,0.929853250815197,0.933403500192194,0.999938234599349,0.929510133575531
"X112482",0.0742965971883903,0.278180282496066,0.278180282496066,0.997798249055363,0.188865949807328,0.791721140817582,0.159307667063881,0.0894721316428051,0.95692322712867
"X479",0.828207544085237,0.938147756220304,0.938147756220304,0.997798249055363,0.64133060520103,0.927638615588497,0.817102136664231,0.919285543987681,0.974753743613081
"X657",0.568534989427157,0.816033832087327,0.816033832087327,0.997798249055363,0.551057194780303,0.917701387044506,0.9170853456132,0.787515477171258,0.544317111540843
"X42446",0.404784597694773,0.678857502383942,0.678857502383942,0.997798249055363,0.466359727389749,0.902689630040589,0.706552623340044,0.374767160925176,0.846819945476138
"X2061",0.373797302879319,0.640227295357131,0.640227295357131,0.997798249055363,0.446602881211275,0.897420390930129,0.609138706285056,0.356877640476684,0.904321715846282
"X47259",0.991957917734004,0.99504812931573,0.99504812931573,0.998147967724813,0.681692533700494,0.931493021950438,0.993757861107196,0.992955915855471,0.999975523533736
"X4550",0.745618582392517,0.912484335948372,0.912484335948372,0.997798249055363,0.616825209586584,0.92575456808325,0.726424544532933,0.947688349603206,0.893987677992611
"X18485",0.00562794245864386,0.0453049367920831,0.0453049367920831,0.364704741176269,0.0302280504800991,0.382365001664129,0.229043326956891,0.217765334273329,0.00378833460563843
"X4942",0.811556759900117,0.938147756220304,0.938147756220304,0.997798249055363,0.636645623807591,0.927638615588497,0.912448852783304,0.799112267262327,0.971003475145889
"X2262",0.156198034754605,0.416725545635313,0.416725545635313,0.997798249055363,0.284475687014947,0.850622251967532,0.707848968113915,0.134593373970915,0.487991782576825
"X21664",0.73306523700292,0.907873101211309,0.907873101211309,0.997798249055363,0.612804196264425,0.925405593385232,0.814102315501976,0.991215576760669,0.741566458105376
"X113523",0.101247957938197,0.350557445764509,0.350557445764509,0.997798249055363,0.227720033760707,0.82729645251492,0.2553628189241,0.877683895722096,0.101408759940939
"X469",0.450006798593497,0.713803887424168,0.713803887424168,0.997798249055363,0.492786235814728,0.907010735842961,0.466885733160727,0.980177214780653,0.583731953918122
"X1862",0.862497463040129,0.964320080204588,0.964320080204588,0.997798249055363,0.650607920101534,0.929464026028937,0.931226675128904,0.854982529941217,0.983429225742305
"X113535",0.0844845928759009,0.306758127855856,0.306758127855856,0.997798249055363,0.204687284247573,0.807387225404489,0.0721764477970854,0.335808692280566,0.69481796346935
"X4531",0.188277480853864,0.466348837191879,0.466348837191879,0.997798249055363,0.314299057527779,0.864361275885113,0.330931051615123,0.201108258682314,0.951589074773329
"X43734",0.035879190490836,0.172434318478346,0.172434318478346,0.82013212050528,0.113946779378701,0.702049883780066,0.372000440795944,0.404726058333733,0.0271133655219652
"X42075",0.915084657536047,0.970076885806482,0.970076885806482,0.997798249055363,0.663938831873718,0.929853250815197,0.987161555609411,0.908861223013307,0.962444794764424
"X17250",0.0287512027986276,0.140271019714516,0.140271019714516,0.684352550728398,0.0958671127254758,0.657154307662641,0.0215940413873783,0.431862097543516,0.303392381870868
"X592",0.112790680743011,0.370597951012751,0.370597951012751,0.997798249055363,0.241750553493786,0.835095527009186,0.101403496506497,0.778551522378043,0.34395200690996
"X43707",0.981506061861735,0.99073652639335,0.99073652639335,0.997798249055363,0.679389680797246,0.931215392496207,0.984581901323244,0.984781169063316,0.999999336204227
"X31223",0.012254054930784,0.0822042851606757,0.0822042851606757,0.548851748489524,0.0530886597680636,0.529034651899801,0.0188925405794884,0.0383673212260033,0.958833763040623
"X39",0.320980040420788,0.6115714379615,0.6115714379615,0.997798249055363,0.412055301384279,0.893127589915913,0.308329349148306,0.547817866336145,0.904907460864432
"X87956",0.599589322184789,0.843090662635379,0.843090662635379,0.997798249055363,0.564175370712895,0.920131604332463,0.911661746915072,0.820907705858069,0.573546732581644
"X31222",2.65306868292895e-09,8.54288115903121e-08,8.54288115903121e-08,2.75080773320805e-06,5.83856417911557e-08,2.5632277516881e-06,0.00670673267808342,0.000294708159148116,1.192383414228e-09
"X23635",0.354415098499118,0.630506418324397,0.630506418324397,0.997798249055363,0.433483879201991,0.896003336265777,0.806708038933334,0.691104502021685,0.322900799476689
"X1709",0.81750158546796,0.938147756220304,0.938147756220304,0.997798249055363,0.638332284476084,0.927638615588497,0.915183895798616,0.805448928683475,0.972146865183523
"X4937",0.916067282692152,0.970076885806482,0.970076885806482,0.997798249055363,0.664178253562707,0.929853250815197,0.915445508950119,0.995134894060672,0.949550403507178
"X6330",0.908339454030099,0.970076885806482,0.970076885806482,0.997798249055363,0.662286067927183,0.929853250815197,0.901923837517631,0.986745487388538,0.958457636946431
"X31460",0.587151900830799,0.832876264614613,0.832876264614613,0.997798249055363,0.559014597266286,0.919231211531735,0.918025597581593,0.802732470954658,0.562631891520205
"X21763",0.547561074487183,0.808281994759339,0.808281994759339,0.997798249055363,0.541741187765836,0.916977629668901,0.870465835908603,0.821288070604243,0.516760761415263
"X18266",0.118611340671265,0.378147046496508,0.378147046496508,0.997798249055363,0.248336794341991,0.83785378495314,0.101818384233503,0.706246046685288,0.41026756531177
"X1925",0.515406322591629,0.782834131483512,0.782834131483512,0.997798249055363,0.526683578480257,0.914509517301304,0.952523363220796,0.692151197143805,0.507024612665017
"X1870",0.606359937501391,0.844186655965985,0.844186655965985,0.997798249055363,0.566934310040417,0.920227024323666,0.95290736010698,0.592684988106514,0.77425753659656
"X105450",0.933007872693498,0.970076885806482,0.970076885806482,0.997798249055363,0.668252927951184,0.929853250815197,0.926455939518132,0.98253140932848,0.979539708968118
"X95550",0.999270019699463,0.999270019699463,0.999270019699463,0.999270019699463,0.683284036772937,0.931762711570986,0.999669685381781,0.999218574254347,0.999904287054255
"X21511",0.24988116746421,0.542577927640258,0.542577927640258,0.997798249055363,0.364153509411186,0.881152934778718,0.98056446959392,0.277865652934457,0.370993742954958
"X51865",0.193543481565416,0.474574712270943,0.474574712270943,0.997798249055363,0.318737665825234,0.866398218355101,0.995679194627565,0.27779295528328,0.239671418459056
"X5576",0.872249638621723,0.965887722884858,0.965887722884858,0.997798249055363,0.653159404718579,0.929570443615931,0.998195037499867,0.906686616745437,0.8813693938281
