Sample,Time,0.4425/385,0.4498/625,0.4711/463,0.4715/659,0.4766/757,0.4772/675,0.4781/591,0.485/736,0.4887/223,0.489/699,0.4891/691,0.493/654,0.4941/925,0.4943/787,0.4971/637,0.4972/689,0.5047/627,0.5058/835,0.5327/267,0.5438/445,0.8564/715,1.0767/403,1.1583/767,1.1625/699,1.3234/331,1.4087/417,1.4112/485,1.5491/683,1.8172/475,1.8563/721,1.9734/851,1.9754/783,1.9887/474,2.6085/452,2.6114/520,2.7725/478,3.1514/919,3.1656/517,3.2501/568,3.4352/728,3.4383/660,3.7057/658,3.733/704,3.7339/636,3.7992/756,3.916/782,3.917/850,3.9806/473,3.9807/722,3.9862/634,4.2076/873,4.2116/941,4.2159/784,4.2193/852,4.2229/920,4.2912/664,4.3148/653,4.3965/1116,4.4961/849,4.4984/917,4.5023/828,4.5031/896,4.6889/1164,4.6892/944,4.6905/1022,4.6908/954,4.6918/971,4.6923/1012,4.694/927,4.6965/76,4.6972/794,4.6984/812,5.5282/820,5.5812/761,5.6299/960,5.6317/1164,5.6387/1086,5.6766/994,5.72/1012,5.7243/614,5.7927/839,5.7962/890,5.8357/974,5.8564/431,5.8801/952,5.8858/979
S7T2,2,175.78,142.11,140.97,579.41,119.11,175.81,5590.02,155.84,169.18,156.23,177.3,107.49,205.04,85.17,585.08,157.41,156.08,649.09,501,676.1,37.25,155.08,0.5,0.5,82.22,812.94,88.43,40.15,89.47,2020.63,0.5,88.72,472.5,1024.81,133.25,90.25,356.73,119.75,114.19,246.58,1925.98,1101.69,549.06,3588.43,523.22,2829.02,451.4,679.82,253.05,2021.48,1627.86,272.28,5532.02,1058.24,238.57,369.59,83.32,495.17,1125.5,240.99,1891.51,402.07,559.05,1118.8,5435.96,15778.2,520.37,344.92,286.35,1190.29,1692.96,687.3,56111.44,6762.71,21344.98,136.75,101.43,9.98,428.55,507.74,1947.18,5934.41,1359.75,748.43,2983.37,1371.1
S7T3,3,98.94,116.14,55.62,369.82,65.83,99.19,3444.65,118.05,97.72,89.9,111.37,47.46,102.04,67.81,345.72,89.06,70.84,252.91,471.9,629.38,84.67,137.14,0.5,74.59,104.34,728.75,81.94,80.22,109.81,977.33,0.5,147.53,284.18,512.59,62.64,39.04,494.76,155.2,39.81,110.68,838.1,579.52,207.96,1460.03,191.56,1310.5,246.26,690.64,121.98,1047.66,642.47,107.51,2344.12,458.48,98.85,111.73,58.49,170.35,399.5,73.49,842.98,211.32,324.83,615.61,2979.88,8462.77,277.75,211.71,198.09,203.64,798.93,415.99,39947.56,4013.94,14689.88,328.65,232.88,96.24,257.99,235.94,956.65,3507.13,577.69,196.38,2329.93,1049.05
S8T0,0,260.63,138.78,200.32,929.8,170.45,304,5701.07,327.95,125.79,287.3,292.42,172.89,306.99,124.88,1135.14,276.47,238.42,910.81,299.29,56.38,378.13,84.78,47.82,440.22,0.5,411.9,52.88,329.11,59.56,2242.38,97.48,690.63,200.87,239.22,18.67,0.5,683.72,140.25,14.16,143.33,858.21,569.95,204.71,1428.77,269.23,1160.22,197.52,593.88,130.38,1145.52,742.85,137.34,2151.36,551.13,121.9,141.04,17.64,0.5,415.82,84.55,853.17,183.35,304.99,563.15,2939.88,8046.57,283.06,234.04,193.19,310.52,641.3,380.95,46779.44,4635.66,18408.63,376.42,256.56,83.93,322.58,161.9,1282.08,4746.12,754.97,744.04,2218.41,1128.98
S8T1,1,181.93,131.42,138.59,759.62,131.79,191.71,6948.61,206.55,192.22,203.99,233.29,110.72,178.22,101.89,790.53,187.02,225.87,593.13,366.21,371.14,254.07,316.01,39.18,318.11,112.53,1670.97,171.39,267.03,195.99,340.31,63.7,575.52,394.28,528.8,58.18,36.94,671.49,208.81,39.95,125.03,934.78,635.77,290.5,1966.29,301.88,1290.79,209.47,881.48,146.63,1287.36,717.34,136.95,2672.35,495.46,116.83,181.54,22.42,48.02,497.34,101.21,940.52,223.35,337.2,655.33,3355.5,9342.2,286.85,242.25,206.09,279.85,637.99,452.14,46079.19,4652.25,15595.69,389.27,248.57,63.67,314.72,191.35,1326.45,4567.31,651.85,392.58,2486.84,1164.86
S8T2,2,178.06,172.65,145.99,617.5,163.58,158.61,5777.4,172.02,142.33,163.55,190.43,91.14,220.34,97.5,679.75,159.1,182.34,648.87,463.76,748.37,0.5,128.12,0.5,73.92,86.6,882.56,74.83,37.91,100.81,2174.84,39.24,100.99,480.31,1001.98,123.05,73.69,364.09,128.15,89.88,260.97,1813.63,1030.76,498.3,3444.96,487.08,2944.2,443.99,623.9,264.36,1961.35,1698.66,279.99,5822.61,1055.54,215.07,364.52,87.52,482.69,1070.56,198.29,1895.51,424.04,511.6,1134.51,5274.98,15902,482.16,392.15,283.14,1434.44,1608.34,674.46,55930.31,6246.85,20648.45,157.38,81.6,17.2,406.16,476.57,2018.89,5745.85,1395.86,768.51,2847.96,1323.06
S8T3,3,111.58,214.14,89.44,339.81,104.63,95.21,3454.4,106.4,92.14,95.51,69.49,54.88,108.56,52.33,353.8,107.45,62.95,237.61,431.78,578.48,100.84,122.14,0.5,97.84,84.93,730.86,67.44,59.89,92.58,1072.23,0.5,156.21,291.95,491.6,73.01,34.72,506.35,140.05,43.85,112.94,879.51,599.21,186.5,1382.09,187.42,1147.26,190.36,696.33,108.12,979.85,533.37,72.83,2271.3,425.39,112.74,142.53,59.72,154.32,423.9,80.39,836.46,195.22,285.72,624.52,2950.48,7964.37,257.48,253.19,239.54,267.63,824.53,360.39,40434.28,4052.43,15221.35,367.4,231.1,87.61,287.91,219.73,1104.75,3565.77,610.84,178.72,2324.8,1095.38
S9T0,0,218.95,159.19,192.49,989.48,167.33,270.61,5635.79,280.99,125.86,282.26,247.13,170.06,288.1,120.86,1244.75,246.36,263.78,940.23,243.32,0.5,356.06,83.03,65.7,485.61,0.5,436.09,46.77,338.12,55.77,2194.18,121.87,747.57,192.18,241,29.11,13.34,734.89,132.92,10.86,147.04,880.49,559.12,231.44,1650.83,280.04,1104.34,185.67,594.84,118.23,1199.9,622.85,107.65,2225.56,496.23,114.92,154.43,0.5,0.5,402.65,86.97,905.85,172.09,346.01,550.64,3028.55,8136.3,261.36,231.1,229.34,300.2,581.72,361.94,46835.5,4293.42,16286.2,401.29,254.96,81.53,354.67,158.76,1287.23,4498.97,683.18,700.25,2355.75,1148.28
S9T1,1,176.24,102.17,131.44,781.37,112.88,222.76,6875.05,229.13,191.66,244,237.66,143.16,132.67,97.66,802.99,213.34,227.35,579.73,372.28,395.88,223.63,342.72,39.94,312.02,105.68,1613.93,165.35,230.88,196.53,825.12,73.78,510.06,403.75,488.01,62.57,43.96,667.63,220.73,54.98,139.59,920.34,661.17,248.83,1764.53,265.42,1260.62,209.14,871.86,146.02,1336.56,760.69,156.23,2692.56,460.78,136.12,192.87,0.5,39.49,539.45,87.63,981.41,222.97,334.47,610.34,3116.17,8861.81,296.57,231.04,216.11,267.83,708.67,447.2,43006.69,4675.52,17971.86,390.21,224.1,95.51,331.34,206.28,1285.4,4742.96,696.75,435.25,2445.39,1163.27
S9T2,2,200.29,137.67,145.89,606.77,142.58,180.5,5491.02,178.48,164.23,168.87,174.65,101.18,234.75,91.56,603.85,172.25,142.6,633.89,451.81,720.83,30.75,159.05,0.5,52.65,72.73,800.18,96.23,46.96,98.46,2138.43,40.52,91.85,473.21,1052.97,130.37,109.28,352.68,107.58,110.28,269.93,1891.07,1038.28,530.86,3531.3,458.95,3156.84,431.33,721.34,228.32,2060.73,1579.07,262.1,5907.41,1016,238.47,412.55,88.33,497.98,1168.08,201.1,1962.67,424.19,561.93,1091.76,5342.84,15730.67,477.03,357.71,282.54,1335.14,1661.71,706.28,57295.22,6542.48,19507.89,145.74,95.13,7.25,403.3,447.52,2084.33,5705.22,1250.5,722,2996.66,1364.09
S9T3,3,112.77,211.04,93.38,386.24,85.38,90.87,3369.81,97.92,85.39,103.74,131.76,71.51,61.57,52.49,308.56,92.74,73.93,237.05,438.15,621.88,76.02,153.1,0.5,91.58,103.81,758.85,66.84,53.71,112.83,934.07,37.55,0.5,81.78,473.88,79.61,42.54,514,97.95,38.59,128.29,860.04,603.34,221.89,1473.32,186.58,1230.71,189.86,696.14,105.82,1030.52,645.85,99.94,2260.67,416.92,85.46,125.9,65.13,157.27,368.29,63.4,825.55,204,299.93,607.58,3019.88,8296.08,282.22,233.36,225.99,291.87,812.43,321.18,42196.34,3909.06,14154.67,378.86,229.56,80.44,269.08,258.9,1059.22,3557.51,556.13,175.25,2327.78,1082.86
